anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,sector_o_tipo_gestion,cantidad_matriculados,anho_cod_geo
2012,05,CAAGUAZU,0514,RAUL ARSENIO OVIEDO,1,URBANA,PRIVADA,20,2012
2012,05,CAAGUAZU,0514,RAUL ARSENIO OVIEDO,6,RURAL,PRIVADA,97,2012
2012,05,CAAGUAZU,0514,RAUL ARSENIO OVIEDO,6,RURAL,PRIV.SUBVENCIONADA,248,2012
2012,05,CAAGUAZU,0514,RAUL ARSENIO OVIEDO,6,RURAL,OFICIAL,3222,2012
2012,05,CAAGUAZU,0514,RAUL ARSENIO OVIEDO,1,URBANA,OFICIAL,790,2012
2012,05,CAAGUAZU,0514,RAUL ARSENIO OVIEDO,6,RURAL,OFICIAL,22,2002
2012,05,CAAGUAZU,0507,REPATRIACION,6,RURAL,OFICIAL,7464,2012
2012,05,CAAGUAZU,0507,REPATRIACION,6,RURAL,PRIVADA,23,2012
2012,05,CAAGUAZU,0507,REPATRIACION,1,URBANA,OFICIAL,1335,2012
2012,05,CAAGUAZU,0507,REPATRIACION,1,URBANA,PRIV.SUBVENCIONADA,27,2012
2012,05,CAAGUAZU,0513,R.I. 3 CORRALES,6,RURAL,OFICIAL,1695,2012
2012,05,CAAGUAZU,0513,R.I. 3 CORRALES,1,URBANA,OFICIAL,347,2012
2012,05,CAAGUAZU,0509,SAN JOAQUIN,1,URBANA,OFICIAL,667,2012
2012,05,CAAGUAZU,0509,SAN JOAQUIN,6,RURAL,OFICIAL,3240,2012
2012,05,CAAGUAZU,0509,SAN JOAQUIN,1,URBANA,PRIV.SUBVENCIONADA,350,2012
2012,05,CAAGUAZU,0510,SAN JOSE DE LOS ARROYOS,6,RURAL,OFICIAL,2434,2012
2012,05,CAAGUAZU,0510,SAN JOSE DE LOS ARROYOS,1,URBANA,OFICIAL,1432,2012
2012,05,CAAGUAZU,0510,SAN JOSE DE LOS ARROYOS,1,URBANA,PRIV.SUBVENCIONADA,754,2012
2012,05,CAAGUAZU,0510,SAN JOSE DE LOS ARROYOS,1,URBANA,PRIVADA,44,2012
2012,05,CAAGUAZU,0505,SANTA ROSA DEL MBUTUY,6,RURAL,OFICIAL,2859,2012
2012,05,CAAGUAZU,0505,SANTA ROSA DEL MBUTUY,1,URBANA,OFICIAL,661,2012
2012,05,CAAGUAZU,0519,SIMON BOLIVAR,1,URBANA,OFICIAL,291,2012
2012,05,CAAGUAZU,0519,SIMON BOLIVAR,6,RURAL,OFICIAL,985,2012
2012,05,CAAGUAZU,0521,TEMBIAPORA,6,RURAL,OFICIAL,2760,2012
2012,05,CAAGUAZU,0521,TEMBIAPORA,1,URBANA,OFICIAL,573,2012
2012,05,CAAGUAZU,0520,VAQUERIA,6,RURAL,OFICIAL,1634,2012
2012,05,CAAGUAZU,0520,VAQUERIA,1,URBANA,PRIVADA,44,2012
2012,05,CAAGUAZU,0520,VAQUERIA,1,URBANA,OFICIAL,1645,2012
2012,05,CAAGUAZU,0511,YHU,6,RURAL,OFICIAL,8725,2012
2012,05,CAAGUAZU,0511,YHU,1,URBANA,OFICIAL,608,2012
2012,06,CAAZAPA,0611,3 DE MAYO,6,RURAL,OFICIAL,4386,2012
2012,06,CAAZAPA,0611,3 DE MAYO,1,URBANA,OFICIAL,413,2012
2012,06,CAAZAPA,0602,ABAI,6,RURAL,PRIVADA,57,2012
2012,06,CAAZAPA,0602,ABAI,1,URBANA,OFICIAL,776,2012
2012,06,CAAZAPA,0602,ABAI,6,RURAL,OFICIAL,6686,2012
2012,06,CAAZAPA,0602,ABAI,6,RURAL,PRIV.SUBVENCIONADA,435,2012
2012,06,CAAZAPA,0603,BUENA VISTA,1,URBANA,OFICIAL,777,2012
2012,06,CAAZAPA,0603,BUENA VISTA,6,RURAL,OFICIAL,834,2012
2012,06,CAAZAPA,0603,BUENA VISTA,1,URBANA,PRIVADA,11,2012
2012,06,CAAZAPA,0601,CAAZAPA,1,URBANA,PRIV.SUBVENCIONADA,837,2012
2012,06,CAAZAPA,0601,CAAZAPA,1,URBANA,PRIVADA,281,2012
2012,06,CAAZAPA,0601,CAAZAPA,6,RURAL,OFICIAL,4373,2012
2012,06,CAAZAPA,0601,CAAZAPA,1,URBANA,OFICIAL,1417,2012
2012,06,CAAZAPA,0604,DR. MOISES BERTONI,6,RURAL,OFICIAL,35,2012
2012,06,CAAZAPA,0609,FULGENCIO YEGROS,6,RURAL,OFICIAL,1116,2012
2012,06,CAAZAPA,0609,FULGENCIO YEGROS,1,URBANA,OFICIAL,471,2012
2012,06,CAAZAPA,0605,GENERAL HIGINIO MORINIGO,6,RURAL,OFICIAL,1282,2012
2012,06,CAAZAPA,0605,GENERAL HIGINIO MORINIGO,1,URBANA,OFICIAL,272,2012
2012,06,CAAZAPA,0605,GENERAL HIGINIO MORINIGO,1,URBANA,PRIV.SUBVENCIONADA,114,2012
2012,06,CAAZAPA,0606,MACIEL,6,RURAL,OFICIAL,906,2012
2012,06,CAAZAPA,0606,MACIEL,1,URBANA,OFICIAL,207,2012
