IDENTIFICADOR,CUENTA MAYOR,SUBCUENTA,ANALITICO,TIPO VEHICULO,MARCA,MODELO,MOTOR,CHASIS,COLOR,CHAPA,I.M.H.,LOGO,FECHA ADQUISICION,ROTULADO,CANTIDAD,VALOR UNITARIO,VALOR TOTAL,ESTADO DE CONSERVACION,OBSERVACIONES,anho
79,26103,1,2,CAMIONETA,CHEVROLET,2005,40704201711,9BG138AC05C417422,BLANCO,EAD 627,9773,231,31/12/2005,07.23053.00.0061,1,111125000,111125000,REGULAR,DIRECCION GENERAL DE EDUCACION ARTISTICA,2005
80,26103,1,2,CAMIONETA,CHEVROLET,2005,40704206786,9BG138AC05C421120,BLANCO,EAD 590,9774,228,31/12/2005,07.23053.00.0058,1,111125000,111125000,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
81,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215276,9BG138BC05C427414,BLANCO,EAD 610,9775,221,31/12/2005,07.23053.00.0051,1,111125000,111125000,REGULAR,COORDINACION DE ALTO PARAGUAY,2005
82,26103,1,2,CAMIONETA,CHEVROLET,2005,40704216317,9BG138BC05C427080,BLANCO,EAD 611,9776,222,31/12/2005,07.23053.00.0052,1,99290909,99290909,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
83,26103,1,2,CAMIONETA,CHEVROLET,2005,40704214400,9BG138BC05C427080,BLANCO,EAD 612,9777,224,31/12/2005,07.23053.00.0054,1,99290909,99290909,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
84,26103,1,2,CAMIONETA,MITSUBISHI,2007,4M41HD9205,JMYLNV78W7J000122,BLANCO,EAD 853,10098,249,31/12/2005,07.22891.01.0076,1,187000000,187000000,BUENO,MINISTRO - GABINETE,2005
85,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215131,9BG138BC05C427237,BLANCO,EAD 614,9779,225,31/12/2005,07.23053.00.0055,1,99290909,99290909,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
86,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215532,9BG138AC05C427623,BLANCO,EAD 615,9780,234,31/12/2005,07.23053.00.0064,1,99290909,99290909,REGULAR,COORDINACION DEPARTAMENTAL ALTO PARANA,2005
87,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215518,9BG138AC05C427525,BLANCO,EAD 616,9781,233,31/12/2005,07.23053.00.0063,1,99290909,99290909,REGULAR,DIRECCION GENERAL DE CULTO,2005
88,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215566,9BG138AC05C427617,BLANCO,EAD 617,9782,237,31/12/2005,07.23053.00.0067,1,99290909,99290909,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
89,26103,1,2,CAMIONETA,CHEVROLET,2005,40704216315,9BG138AC05C427624,BLANCO,EAD 618,9783,238,31/12/2005,07.23053.00.0068,1,99290909,99290909,BUENO,DEPARTAMENTO DE DE TRANSPORTE,2005
90,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215512,9BG138AC05C427573,BLANCO,EAD 619,9784,24,31/12/2005,07.23053.00.0070,1,99290909,99290909,BUENO,COORDINACION DEPARTAMENTAL DE CAAGUAZU,2005
91,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215314,9BG138AC05C427586,BLANCO,EAD 620,9785,232,31/12/2005,07.23053.00.0062,1,99290909,99290909,REGULAR,SERVICIOS GENERALES,2005
92,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215556,9BG138AC05C427518,BLANCO,EAD 621,9786,235,31/12/2005,07.23053.00.0065,1,99290909,99290909,REGULAR,COORDINACION DEPARTAMENTAL DE CAAZAPA,2005
93,26103,1,2,CAMIONETA,CHEVROLET,2005,40704214408,9BG138AC05C427086,BLANCO,EAD 622,9787,236,31/12/2005,07.23053.00.0066,1,99290909,99290909,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
94,26103,1,2,CAMIONETA,CHEVROLET,2005,40704214779,9BG138AC05C427400,BLANCO,EAD 623,9788,239,31/12/2005,07.23053.00.0069,1,99290909,99290909,BUENO,DEPARTAMENTO DE DE TRANSPORTE,2005
95,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GR7763,DJNK340SP-05453,BLANCO,EAA 901,4497,16,31/12/1995,07.22891.01.0006,1,65300000,65300000,RGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
96,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GS0063,DJNK340SP-05693,BLANCO,EAA 899,4498,161,31/12/1995,07.22891.01.0009,1,65300000,65300000,REGULAR,CONSEJO NACIONAL DE EDUCACION Y CULTURA,1995
97,26103,1,2,CAMIONETA,TOYOTA,2005,3L-5568926,JTFDE62640-0142530,PLATA,EAD 298,10212,251,28/12/2008,07.22891.01.0078,1,205000000,205000000,BUENO,DIRECCION GENERAL DE EDUCACION SUPERIOR ,2008
98,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025799,8AGSA1910AR146728,BLANCO,EAF 267,526,,16/07/2010,07.22891.03.0020,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
99,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025802,8AGSA1910AR147165,NEGRO,EAF 231,527,,16/07/2010,07.22891.03.0016,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
